Sequence1,Sequence2,Time_Seconds
7,111,0.088451
7,112,0.064432
7,113,0.08654
7,114,0.074137
7,115,0.047735
7,116,0.08535
7,117,0.129839
7,118,0.081356
7,119,0.089216
7,120,0.104998
7,121,0.079826
7,122,0.095925
7,123,0.085562
7,124,0.016466
7,125,0.016624
7,126,0.024941
7,127,0.031521
7,128,0.016848
7,129,0.101847
7,130,0.068605
7,131,0.103792
7,132,0.058901
7,133,0.076044
7,134,0.086839
7,135,0.061368
7,136,0.060044
7,137,0.090239
7,138,0.060042
7,139,0.064705
7,140,0.063016
7,141,0.070367
7,142,0.05749
7,143,0.063378
7,144,0.062191
7,145,0.066629
7,146,0.099819
7,147,0.067014
7,148,0.056629
7,149,0.078991
7,150,0.065481
7,151,0.058459
7,152,0.086627
7,153,0.081857
7,154,0.064911
7,155,0.011592
7,156,0.063437
7,157,0.157023
7,158,0.067488
7,159,0.075389
7,160,0.080354
7,161,0.069123
7,162,0.042278
7,163,0.052249
7,164,0.056431
7,165,0.099563
7,166,0.041491
7,167,0.034169
7,168,0.063474
7,169,0.125704
7,170,0.035519
7,171,0.055009
7,172,0.06258
7,173,0.066846
7,174,0.064607
7,175,0.06533
7,176,0.152987
7,177,0.096631
7,178,0.049687
7,179,0.043007
7,180,0.04027
7,181,0.038703
8,9,0.197708
8,10,0.13919
8,11,0.106086
8,12,0.099119
8,13,0.107357
8,14,0.109559
8,15,0.10173
8,16,0.099026
8,17,0.144445
8,18,0.253874
8,19,0.1456
8,20,0.095247
8,21,0.096468
8,22,0.10212
8,23,0.090914
8,24,0.131012
8,25,0.106963
8,26,0.099721
8,27,0.150407
8,28,0.117069
8,29,0.145155
8,30,0.165379
8,31,0.105726
8,32,0.107764
8,33,0.100858
8,34,0.107565
8,35,0.093894
8,36,0.131776
8,37,0.101568
8,38,0.08987
8,39,0.113419
8,40,0.10183
8,41,0.103723
8,42,0.107176
8,43,0.11468
8,44,0.142936
8,45,0.115812
8,46,0.126195
8,47,0.098934
8,48,0.084919
8,49,0.171802
8,50,0.093047
8,51,0.100894
8,52,0.10038
8,53,0.120713
8,54,0.097148
8,55,0.148316
8,56,0.111077
8,57,0.11671
8,58,0.104351
8,59,0.101645
8,60,0.106784
8,61,0.098227
8,62,0.100872
8,63,0.083153
8,64,0.093539
8,65,0.150225
8,66,0.097446
8,67,0.085428
8,68,0.095418
8,69,0.087764
8,70,0.085669
8,71,0.087205
8,72,0.093723
8,73,0.090435
8,74,0.094185
8,75,0.082533
8,76,0.123001
8,77,0.126268
8,78,0.151517
8,79,0.104772
8,80,0.09356
8,81,0.106772
8,82,0.094629
8,83,0.104521
8,84,0.111629
8,85,0.22275
8,86,0.128644
8,87,0.100175
8,88,0.129848
8,89,0.099506
8,90,0.135022
8,91,0.105332
8,92,0.126649
8,93,0.095703
8,94,0.143074
8,95,0.121651
8,96,0.118014
8,97,0.111252
8,98,0.128509
8,99,0.126733
8,100,0.104607
8,101,0.135757
8,102,0.114592
8,103,0.187068
8,104,0.049633
8,105,0.063319
8,106,0.068518
8,107,0.065999
8,108,0.065595
8,109,0.0754
8,110,0.09812
8,111,0.063387
8,112,0.046706
8,113,0.067134
8,114,0.066761
8,115,0.049508
8,116,0.048628
8,117,0.068517
8,118,0.090315
8,119,0.064511
8,120,0.05075
8,121,0.04596
8,122,0.062941
8,123,0.050022
8,124,0.013424
8,125,0.01623
8,126,0.013901
8,127,0.015784
8,128,0.012341
8,129,0.078826
8,130,0.068848
8,131,0.045475
8,132,0.053073
8,133,0.067655
8,134,0.081141
8,135,0.06597
8,136,0.069518
8,137,0.053291
8,138,0.051395
8,139,0.089774
8,140,0.064245
8,141,0.056593
8,142,0.061832
8,143,0.069888
8,144,0.059767
8,145,0.045743
8,146,0.076736
8,147,0.077837
8,148,0.087419
8,149,0.115867
8,150,0.071942
8,151,0.064347
8,152,0.050019
8,153,0.05103
8,154,0.034261
